video_id,creator_id,genre,video_duration_sec,ai_model_used,ai_generated_ratio,monetized
VID_0402,CREATOR_061,AI Shorts,112,Seedance Pro,0.992,0
VID_0403,CREATOR_051,Documentaries,246,Sora 2,0.704,0
VID_0404,CREATOR_060,Sci-Fi,88,Sora 2,0.837,0
VID_0405,CREATOR_038,AI Shorts,252,Seedance Pro,0.72,1
VID_0406,CREATOR_068,AI Shorts,178,Seedance Pro,0.748,1
VID_0407,CREATOR_060,Sci-Fi,258,Flux,0.759,0
VID_0408,CREATOR_023,AI Shorts,32,Kling 2.0,0.734,1
VID_0409,CREATOR_035,AI Shorts,243,Sora 2,0.855,1
VID_0410,CREATOR_018,Sci-Fi,92,Seedance Pro,0.984,1
VID_0411,CREATOR_102,Sci-Fi,117,Flux,0.771,1
VID_0412,CREATOR_082,Horror,27,Flux,0.989,1
VID_0413,CREATOR_047,AI Animation,287,Flux,0.867,1
VID_0414,CREATOR_048,AI Shorts,198,Sora 2,0.843,1
VID_0415,CREATOR_010,AI Shorts,295,Sora 2,0.695,1
VID_0416,CREATOR_035,Horror,177,Seedance Pro,0.625,0
VID_0417,CREATOR_111,Drama,60,Kling 2.0,0.941,1
VID_0418,CREATOR_004,Horror,111,Flux,0.83,1
VID_0419,CREATOR_018,AI Shorts,140,Flux,0.766,1
VID_0420,CREATOR_102,AI Animation,57,Seedance Pro,0.925,1
VID_0421,CREATOR_063,AI Animation,281,Sora 2,0.724,1
VID_0422,CREATOR_004,AI Animation,288,Flux,0.913,1
VID_0423,CREATOR_059,AI Animation,176,Kling 2.0,0.731,1
VID_0424,CREATOR_090,Sci-Fi,182,Kling 2.0,0.968,1
VID_0425,CREATOR_042,AI Animation,216,Sora 2,0.707,1
VID_0426,CREATOR_046,AI Animation,209,Kling 2.0,0.655,1
VID_0427,CREATOR_076,Sci-Fi,32,Seedance Pro,0.879,1
VID_0428,CREATOR_072,AI Animation,166,Seedance Pro,0.665,1
VID_0429,CREATOR_109,Drama,237,Kling 2.0,0.98,0
VID_0430,CREATOR_030,AI Shorts,245,Seedance Pro,0.862,1
VID_0431,CREATOR_034,Horror,185,Sora 2,0.692,0
VID_0432,CREATOR_019,AI Shorts,271,Flux,0.684,1
VID_0433,CREATOR_080,Horror,182,Seedance Pro,0.97,0
VID_0434,CREATOR_065,Drama,124,Sora 2,0.843,1
VID_0435,CREATOR_042,Sci-Fi,141,Kling 2.0,0.957,1
VID_0436,CREATOR_084,Documentaries,212,Kling 2.0,0.644,0
VID_0437,CREATOR_046,Sci-Fi,268,Sora 2,0.97,1
VID_0438,CREATOR_024,AI Shorts,80,Seedance Pro,0.808,1
VID_0439,CREATOR_065,Drama,98,Sora 2,0.867,0
VID_0440,CREATOR_053,AI Animation,201,Sora 2,0.749,1
VID_0441,CREATOR_049,AI Shorts,233,Kling 2.0,0.624,0
VID_0442,CREATOR_054,AI Animation,129,Seedance Pro,0.983,0
VID_0443,CREATOR_110,Sci-Fi,198,Sora 2,0.998,0
VID_0444,CREATOR_026,Sci-Fi,16,Flux,0.746,1
VID_0445,CREATOR_034,Sci-Fi,98,Flux,0.978,1
VID_0446,CREATOR_068,Sci-Fi,288,Kling 2.0,0.667,1
VID_0447,CREATOR_006,AI Shorts,179,Kling 2.0,0.662,1
VID_0448,CREATOR_018,AI Shorts,263,Sora 2,0.629,1
VID_0449,CREATOR_068,AI Shorts,77,Sora 2,0.757,1
VID_0450,CREATOR_062,Drama,98,Flux,0.621,1
VID_0451,CREATOR_079,Sci-Fi,293,Seedance Pro,0.758,1
VID_0452,CREATOR_014,AI Animation,300,Kling 2.0,0.655,0
VID_0453,CREATOR_103,Drama,265,Sora 2,0.892,0
VID_0454,CREATOR_059,Documentaries,105,Kling 2.0,0.933,1
VID_0455,CREATOR_019,AI Animation,244,Kling 2.0,0.875,1
VID_0456,CREATOR_038,Sci-Fi,146,Flux,0.68,0
VID_0457,CREATOR_028,Drama,256,Flux,0.907,1
VID_0458,CREATOR_055,Horror,258,Flux,0.7,1
VID_0459,CREATOR_057,AI Animation,139,Kling 2.0,0.904,0
VID_0460,CREATOR_053,AI Animation,102,Sora 2,0.827,0
VID_0461,CREATOR_056,Sci-Fi,293,Sora 2,0.747,0
VID_0462,CREATOR_109,AI Shorts,143,Seedance Pro,0.633,1
VID_0463,CREATOR_116,Documentaries,138,Flux,0.931,1
VID_0464,CREATOR_059,Drama,205,Seedance Pro,0.976,1
VID_0465,CREATOR_116,AI Animation,282,Kling 2.0,0.866,0
VID_0466,CREATOR_099,AI Shorts,52,Sora 2,0.986,1
VID_0467,CREATOR_099,Horror,296,Flux,0.974,0
VID_0468,CREATOR_028,AI Shorts,135,Sora 2,0.678,1
VID_0469,CREATOR_053,Horror,22,Flux,0.892,1
VID_0470,CREATOR_043,AI Animation,103,Sora 2,0.74,1
VID_0471,CREATOR_012,AI Animation,147,Seedance Pro,0.795,1
VID_0472,CREATOR_010,AI Shorts,208,Kling 2.0,0.663,1
VID_0473,CREATOR_075,AI Shorts,176,Seedance Pro,0.99,0
VID_0474,CREATOR_051,Documentaries,53,Sora 2,0.89,1
VID_0475,CREATOR_100,AI Shorts,154,Sora 2,0.707,0
VID_0476,CREATOR_081,AI Animation,81,Sora 2,0.749,0
VID_0477,CREATOR_011,AI Animation,92,Kling 2.0,0.769,1
VID_0478,CREATOR_101,AI Shorts,218,Seedance Pro,0.899,1
VID_0479,CREATOR_060,AI Animation,244,Seedance Pro,0.97,0
VID_0480,CREATOR_068,Drama,59,Seedance Pro,0.729,1
VID_0481,CREATOR_116,AI Animation,187,Seedance Pro,0.789,1
VID_0482,CREATOR_077,AI Animation,135,Flux,0.837,1
VID_0483,CREATOR_003,AI Shorts,111,Sora 2,0.757,1
VID_0484,CREATOR_022,Sci-Fi,218,Seedance Pro,0.802,0
VID_0485,CREATOR_052,Drama,86,Kling 2.0,0.642,1
VID_0486,CREATOR_005,AI Shorts,233,Seedance Pro,0.667,0
VID_0487,CREATOR_021,AI Shorts,129,Sora 2,0.76,0
VID_0488,CREATOR_096,Drama,42,Flux,0.966,1
VID_0489,CREATOR_018,Drama,241,Sora 2,0.74,1
VID_0490,CREATOR_021,Horror,258,Sora 2,0.7,0
VID_0491,CREATOR_061,AI Animation,176,Kling 2.0,0.897,1
VID_0492,CREATOR_011,AI Animation,222,Sora 2,0.98,1
VID_0493,CREATOR_031,Drama,57,Sora 2,0.784,1
VID_0494,CREATOR_113,AI Shorts,112,Kling 2.0,0.603,0
VID_0495,CREATOR_076,AI Shorts,115,Kling 2.0,0.875,1
VID_0496,CREATOR_116,AI Shorts,233,Sora 2,0.766,0
VID_0497,CREATOR_043,Drama,115,Sora 2,0.869,0
VID_0498,CREATOR_074,Sci-Fi,223,Seedance Pro,0.711,0
VID_0499,CREATOR_029,AI Shorts,102,Kling 2.0,0.601,0
VID_0500,CREATOR_046,Sci-Fi,186,Sora 2,0.738,0
VID_0501,CREATOR_021,AI Animation,75,Kling 2.0,0.882,0
VID_0502,CREATOR_100,Drama,174,Sora 2,0.757,1
VID_0503,CREATOR_023,AI Shorts,38,Sora 2,0.688,1
VID_0504,CREATOR_025,AI Animation,225,Flux,0.786,0
VID_0505,CREATOR_056,Horror,23,Sora 2,0.901,1
VID_0506,CREATOR_052,Drama,300,Sora 2,0.648,0
VID_0507,CREATOR_038,AI Shorts,254,Kling 2.0,0.877,1
VID_0508,CREATOR_043,Documentaries,180,Sora 2,0.867,1
VID_0509,CREATOR_036,AI Animation,275,Sora 2,0.748,1
VID_0510,CREATOR_110,Drama,246,Flux,0.988,0
VID_0511,CREATOR_070,Sci-Fi,55,Sora 2,0.958,1
VID_0512,CREATOR_111,AI Animation,227,Flux,0.726,1
VID_0513,CREATOR_119,AI Animation,122,Sora 2,0.612,1
VID_0514,CREATOR_079,Sci-Fi,259,Kling 2.0,0.723,1
VID_0515,CREATOR_100,AI Shorts,262,Kling 2.0,0.682,1
VID_0516,CREATOR_014,Sci-Fi,287,Kling 2.0,0.819,0
VID_0517,CREATOR_114,AI Shorts,143,Sora 2,0.967,1
VID_0518,CREATOR_058,Sci-Fi,70,Seedance Pro,0.948,0
VID_0519,CREATOR_086,Sci-Fi,50,Flux,0.722,1
VID_0520,CREATOR_030,Documentaries,62,Sora 2,0.771,1
VID_0521,CREATOR_012,Drama,298,Kling 2.0,0.615,1
VID_0522,CREATOR_107,Documentaries,182,Seedance Pro,0.818,1
VID_0523,CREATOR_054,AI Shorts,115,Kling 2.0,0.625,0
VID_0524,CREATOR_017,Sci-Fi,143,Sora 2,0.975,0
VID_0525,CREATOR_080,AI Shorts,64,Seedance Pro,0.947,1
VID_0526,CREATOR_007,AI Shorts,178,Sora 2,0.686,1
VID_0527,CREATOR_055,Sci-Fi,136,Kling 2.0,0.88,1
VID_0528,CREATOR_085,Horror,243,Kling 2.0,0.827,1
VID_0529,CREATOR_087,AI Shorts,21,Flux,0.921,1
VID_0530,CREATOR_055,Drama,281,Kling 2.0,0.79,1
VID_0531,CREATOR_045,AI Shorts,32,Flux,0.677,1
VID_0532,CREATOR_101,AI Shorts,134,Sora 2,0.856,0
VID_0533,CREATOR_023,AI Animation,112,Sora 2,0.632,0
VID_0534,CREATOR_009,Documentaries,220,Kling 2.0,0.834,1
VID_0535,CREATOR_019,AI Animation,203,Seedance Pro,0.685,1
VID_0536,CREATOR_097,Sci-Fi,71,Sora 2,0.874,1
VID_0537,CREATOR_057,Sci-Fi,155,Flux,0.931,0
VID_0538,CREATOR_005,AI Shorts,167,Sora 2,0.644,0
VID_0539,CREATOR_021,Documentaries,147,Kling 2.0,0.76,1
VID_0540,CREATOR_004,Horror,21,Sora 2,0.893,1
VID_0541,CREATOR_098,Drama,65,Sora 2,0.665,0
VID_0542,CREATOR_056,Documentaries,159,Sora 2,0.827,0
VID_0543,CREATOR_009,Drama,89,Seedance Pro,0.869,0
VID_0544,CREATOR_027,AI Animation,170,Seedance Pro,0.742,1
VID_0545,CREATOR_074,AI Shorts,61,Flux,0.933,1
VID_0546,CREATOR_072,Sci-Fi,225,Sora 2,0.804,1
VID_0547,CREATOR_099,AI Animation,68,Sora 2,0.851,0
VID_0548,CREATOR_004,AI Animation,200,Flux,0.656,1
VID_0549,CREATOR_009,AI Animation,254,Kling 2.0,0.609,1
VID_0550,CREATOR_005,Documentaries,117,Seedance Pro,0.62,0
VID_0551,CREATOR_048,Documentaries,54,Seedance Pro,0.962,0
VID_0552,CREATOR_088,AI Animation,16,Kling 2.0,0.953,1
VID_0553,CREATOR_080,Drama,118,Seedance Pro,0.923,0
VID_0554,CREATOR_026,AI Animation,48,Seedance Pro,0.68,1
VID_0555,CREATOR_079,Sci-Fi,267,Sora 2,0.81,1
VID_0556,CREATOR_079,AI Animation,293,Seedance Pro,0.918,1
VID_0557,CREATOR_023,AI Animation,295,Kling 2.0,0.87,1
VID_0558,CREATOR_090,AI Animation,278,Kling 2.0,0.646,1
VID_0559,CREATOR_051,AI Animation,182,Sora 2,0.958,0
VID_0560,CREATOR_008,Sci-Fi,107,Sora 2,0.664,1
VID_0561,CREATOR_047,AI Animation,142,Sora 2,0.669,0
VID_0562,CREATOR_093,Documentaries,89,Seedance Pro,0.96,1
VID_0563,CREATOR_084,Sci-Fi,255,Kling 2.0,0.794,1
VID_0564,CREATOR_033,AI Animation,139,Kling 2.0,0.749,1
VID_0565,CREATOR_091,AI Shorts,125,Flux,0.821,1
VID_0566,CREATOR_047,AI Animation,212,Kling 2.0,0.993,0
VID_0567,CREATOR_056,AI Shorts,121,Flux,0.648,1
VID_0568,CREATOR_011,Sci-Fi,117,Sora 2,0.903,0
VID_0569,CREATOR_120,AI Shorts,80,Seedance Pro,0.734,1
VID_0570,CREATOR_101,AI Shorts,34,Flux,0.647,1
VID_0571,CREATOR_024,Drama,25,Kling 2.0,0.769,1
VID_0572,CREATOR_068,AI Shorts,130,Kling 2.0,0.82,1
VID_0573,CREATOR_094,AI Animation,299,Kling 2.0,0.682,1
VID_0574,CREATOR_061,AI Animation,89,Seedance Pro,0.762,0
VID_0575,CREATOR_026,AI Animation,198,Flux,0.854,0
VID_0576,CREATOR_117,AI Shorts,107,Sora 2,0.831,0
VID_0577,CREATOR_033,Sci-Fi,101,Kling 2.0,0.889,0
VID_0578,CREATOR_041,AI Animation,61,Seedance Pro,0.935,1
VID_0579,CREATOR_045,Drama,176,Kling 2.0,0.764,1
VID_0580,CREATOR_107,Sci-Fi,203,Flux,0.769,1
VID_0581,CREATOR_061,Sci-Fi,115,Flux,0.799,1
VID_0582,CREATOR_087,Drama,165,Kling 2.0,0.827,1
VID_0583,CREATOR_109,AI Animation,151,Sora 2,0.643,1
VID_0584,CREATOR_112,Horror,92,Kling 2.0,0.725,1
VID_0585,CREATOR_103,Documentaries,212,Sora 2,0.669,1
VID_0586,CREATOR_109,Documentaries,173,Seedance Pro,0.754,1
VID_0587,CREATOR_114,AI Animation,33,Flux,0.989,0
VID_0588,CREATOR_119,AI Animation,155,Seedance Pro,0.833,1
VID_0589,CREATOR_078,AI Shorts,126,Sora 2,0.772,0
VID_0590,CREATOR_016,AI Shorts,242,Kling 2.0,0.826,1
VID_0591,CREATOR_014,AI Shorts,102,Flux,0.868,1
VID_0592,CREATOR_096,AI Animation,288,Sora 2,0.774,0
VID_0593,CREATOR_038,Sci-Fi,190,Kling 2.0,0.779,0
VID_0594,CREATOR_097,AI Animation,52,Sora 2,0.881,1
VID_0595,CREATOR_113,Sci-Fi,130,Flux,0.624,1
VID_0596,CREATOR_078,Sci-Fi,267,Flux,0.816,1
VID_0597,CREATOR_092,Documentaries,87,Kling 2.0,0.819,1
VID_0598,CREATOR_034,Sci-Fi,216,Seedance Pro,0.903,1
VID_0599,CREATOR_053,AI Shorts,239,Sora 2,0.993,1
VID_0600,CREATOR_116,Documentaries,213,Kling 2.0,0.918,1
